"TÍTULO","TIPO","NÚMERO OFICIAL","EXERCÍCIO","ORGÃO","VALOR (R$)","SITUAÇÃO","INÍCIO","FIM"
"3239 - CT - UFC/FCPC - PARFOR","CONTRATO","P. 023648/2016-51","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","111.052,20","EXECUÇÃO","29/11/2016","30/03/2017"
"3240 - CT. UFC/FCPC - FAIMER 2017","CONTRATO","024458/2016-51","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","787.884,70","EXECUÇÃO","14/12/2016","14/12/2017"
"3241 - CT.EMBRAPA/FCPC - ACESSO A RENP","CONTRATO","","2016","EMBRAPA AGROINDÚSTRIA TROPICAL","36.000,00","EXECUÇÃO","13/10/2016","13/10/2017"
"3244 - CT. UFC/FCPC-PNAIC","CONTRATO","024253/2016-76","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","1.028.170,00","EXECUÇÃO","23/12/2016","30/04/2017"
"3257 - CT. IFCE/FCPC/REPOSITORIO DE OBJETOS EDUCAINAIS PARA REDE EPT - PROEDU","CONTRATO","","2017","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","814.940,00","EXECUÇÃO","11/01/2017","11/01/2018"
"3258 - CV.DPM/IFCE/FCPC-CONTRAPARTIDA – EMBRAPII - ANEMOMETRO ULTRASSONICO ESPECIALIZADO PARA SISTEMA DE PROSPECÇÃO E AVALIAÇÃO DO POTENCIAL EÓLICO","CONVÊNIO","","2017","DPM SERVIÇOS DE AUTOMAÇÃO LTDA-ME","127.580,11","EXECUÇÃO","23/11/2016","22/11/2017"
"3259 - CV. EMBRAPII/IFCE/FCPC- ANEMOMETRO ULTRASSONICO ESPECIALIZADO PARA SISTEMA DE PROSPECÇÃO E AVALIAÇÃO DO POTENCIAL EÓLICO","CONVÊNIO","","2017","EMBRAPII/IFCE","163.718,80","EXECUÇÃO","23/11/2016","22/11/2017"
"3260 - CV.EMBRAPII/IFCE/FCPC - SISTEMA DE COMUNICAÇÃO DE DADOS PARA DIPOSITOVOS IOT","CONVÊNIO","","2017","EMBRAPII/IFCE","160.409,19","EXECUÇÃO","28/11/2016","27/11/2017"
"3261 - CV. W3SAT/IFCE/FCPC-CONTRAPARTIDA - SISTEMA DE COMUNICAÇÃO DE DADOS PARA DIPOSITOVOS IOT","CONVÊNIO","","2017","METALURGICA W3SAT LTDA","259.213,22","EXECUÇÃO","28/11/2016","27/11/2017"
"3262 - CT. UFC/FCPC-SELEÇÃO PARA AS CASAS DE CULTURA 2017.1","CONTRATO","P. 000.588/2017-89 – CONTRATO 07/2017","2017","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","302.984,00","EXECUÇÃO","30/01/2017","21/07/2017"
